-0.08975838790143718,1.489989239163856,-3.5903355160574844;-0.14979375032692216,1.8177210784443467,-2.647474128164085
-0.07097127582907797,1.4726539734533668,-3.5485637914538954;-0.1174152456483249,1.7819611772703408,-2.5987364327542455
-0.05293771630945269,1.4646101512281897,-3.5291810872968425;-0.08723792485729442,1.765647411457067,-2.5761857758459072
-0.03517737469668913,1.4598610499125977,-3.5177374696689094;-0.05783799832659792,1.756095156749026,-2.5628909636358577
-0.017557508011952806,1.4572731649920816,-3.511501602390558;-0.028832179980133037,1.7509142062849257,-2.5556523356960312
0.0,1.4564461731187215,-3.5095088508884853;0.0,1.7492621345535837,-2.553340030685182
0.017557508011952414,1.4572731649920816,-3.511501602390558;0.02883217998013239,1.7509142062849257,-2.5556523356960312
0.03517737469668913,1.4598610499125977,-3.5177374696689094;0.05783799832659792,1.756095156749026,-2.5628909636358577
0.05293771630945229,1.4646101512281897,-3.5291810872968425;0.08723792485729377,1.765647411457067,-2.5761857758459072
0.07097127582907797,1.4726539734533668,-3.5485637914538954;0.1174152456483249,1.7819611772703408,-2.5987364327542455
0.0897583879014368,1.489989239163856,-3.5903355160574844;0.14979375032692152,1.8177210784443467,-2.647474128164085
-0.17869991271022145,1.4653392842238149,-3.573998254204426;-0.29699610752396394,1.773385694466293,-2.630010214328225
-0.15834856770624114,1.4427313946568627,-3.5188570601386893;-0.26024694837954715,1.7276320593250822,-2.5657315011026487
-0.13953321364452434,1.4302154398563733,-3.4883303411131052;-0.22796412220830525,1.7028698225009795,-2.5302909045368893
-0.12133330214162659,1.4213329679447675,-3.4666657754750427;-0.1974143258907083,1.6855262518550673,-2.5052014825540923
-0.1035088435863062,1.4146208623461838,-3.4502947862102036;-0.16789811173236796,1.6725421467463866,-2.4862768230990566
-0.08594246103529332,1.4094563609788096,-3.43769844141173;-0.13908022743424164,1.6626210504484353,-2.47173570000403
-0.06856146303036349,1.4055099921224503,-3.4280731515181713;-0.1107573829951427,1.6550797418948457,-2.460636102229242
-0.05131419419350135,1.4025879746223688,-3.420946279566753;-0.08278806445507342,1.6495177351161663,-2.4524241637256985
